Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SRI-V2 , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 881.32 , 724.341 , 17.8118 , 60.244 , 1000.14 , 6 , 549 , 332.32 , 308.71 , 332.32 , 881.32 , 727.178 , 17.4899 , 36734 , 1684 , 3.25941 , 12363 , 3.81552 , 0 , 0 , 0 , 1684 , 0.222893 , 286 , 1.61182 , 0
SRI-V2-FLOW , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 900.81 , 724.343 , 19.5898 , 60.45 , 1000.15 , 6 , 487 , 413.81 , 363.26 , 413.81 , 900.81 , 727.488 , 19.2407 , 34903 , 1406 , 3.2809 , 10064 , 3.28002 , 0 , 0 , 0 , 1699 , 0.225 , 445 , 11.113 , 0
SRI-V2 , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 822.92 , 743.05 , 9.70574 , 60.153 , 1000.12 , 5 , 596 , 226.92 , 217.21 , 226.92 , 822.92 , 743.522 , 9.64838 , 45237 , 1568 , 4.18477 , 12043 , 3.36472 , 0 , 0 , 0 , 1832 , 0.225481 , 183 , 0.384792 , 0
SRI-V2-FLOW , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 874.42 , 743.036 , 15.0253 , 60.151 , 1000.11 , 5 , 662 , 212.42 , 204.34 , 212.42 , 874.42 , 743.606 , 14.96 , 40088 , 1756 , 4.20921 , 11730 , 3.1007 , 0 , 0 , 0 , 1805 , 0.225881 , 352 , 11.0524 , 0
SRI-V2 , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 867.52 , 725.101 , 16.4168 , 60.41 , 1000.14 , 6 , 580 , 287.52 , 272.78 , 287.52 , 867.52 , 727.955 , 16.0878 , 38501 , 1947 , 3.95454 , 11191 , 3.43606 , 0 , 0 , 0 , 1672 , 0.114914 , 389 , 1.87478 , 0
SRI-V2-FLOW , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 867.52 , 725.101 , 16.4168 , 60.4 , 1000.11 , 6 , 580 , 287.52 , 272.78 , 287.52 , 867.52 , 729.465 , 15.9138 , 40618 , 2268 , 4.4939 , 9481 , 3.07918 , 0 , 0 , 0 , 1672 , 0.114896 , 735 , 15.7513 , 0
SRI-V2 , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 818.5 , 732.593 , 10.4956 , 60.137 , 1000.12 , 6 , 530 , 288.5 , 280.92 , 288.5 , 818.5 , 732.642 , 10.4896 , 35746 , 1973 , 3.88574 , 8840 , 2.63135 , 0 , 0 , 0 , 1967 , 0.130499 , 247 , 0.136799 , 0
SRI-V2-FLOW , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 836.19 , 732.537 , 12.3958 , 60.036 , 1000.15 , 6 , 610 , 226.19 , 220.42 , 226.19 , 836.19 , 732.54 , 12.3955 , 37425 , 1862 , 3.5496 , 10388 , 3.24558 , 0 , 0 , 0 , 1902 , 0.128549 , 470 , 11.3702 , 0
SRI-V2 , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 873.77 , 680.445 , 22.1254 , 60.092 , 1000.11 , 6 , 570 , 303.77 , 290.67 , 303.77 , 873.77 , 706.871 , 19.1011 , 36864 , 2240 , 4.58719 , 7836 , 3.36621 , 0 , 0 , 0 , 482 , 0.22714 , 341 , 2.23268 , 0
SRI-V2-FLOW , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 871.4 , 680.445 , 21.9136 , 60.19 , 1000.18 , 6 , 581 , 290.4 , 277.79 , 290.4 , 871.4 , 706.937 , 18.8734 , 31926 , 1413 , 3.67176 , 8797 , 3.39307 , 0 , 0 , 0 , 477 , 0.226956 , 429 , 13.4664 , 0
SRI-V2 , ./data/ccvrp/A-n36-k5-scen-L666.svrp , 903.09 , 744.158 , 17.5987 , 60.567 , 1000.12 , 5 , 618 , 285.09 , 268.55 , 285.09 , 903.09 , 746.001 , 17.3946 , 32597 , 1918 , 3.39988 , 10409 , 3.54671 , 0 , 0 , 0 , 1332 , 0.148607 , 195 , 0.364232 , 0
SRI-V2-FLOW , ./data/ccvrp/A-n36-k5-scen-L666.svrp , 904.02 , 744.208 , 17.6779 , 60.595 , 1000.13 , 5 , 641 , 263.02 , 250.2 , 262.18 , 904.02 , 746.791 , 17.3922 , 35121 , 1863 , 3.88159 , 9258 , 3.02705 , 0 , 0 , 0 , 1413 , 0.15021 , 443 , 12.9508 , 0
SRI-V2 , ./data/ccvrp/A-n37-k5-scen-H666.svrp , 759.3 , 621.433 , 18.1572 , 60.063 , 1000.14 , 6 , 594 , 165.3 , 138.97 , 161.16 , 759.3 , 642.553 , 15.3756 , 32076 , 1909 , 3.43796 , 11240 , 3.67956 , 0 , 0 , 0 , 2891 , 0.320085 , 424 , 0.471349 , 0
SRI-V2-FLOW , ./data/ccvrp/A-n37-k5-scen-H666.svrp , 746.41 , 621.433 , 16.7438 , 60.127 , 1000.15 , 6 , 571 , 175.41 , 158.16 , 175.41 , 746.41 , 646.036 , 13.4475 , 28679 , 1359 , 3.14001 , 9467 , 3.23096 , 0 , 0 , 0 , 2891 , 0.32011 , 510 , 9.42186 , 0
